GE!1418P!AP!!39401000036106!ticagrelor!35461000036107!ticagrelor 90 mg tablet, 56!Brilinta!35451000036109!Brilinta 90 mg tablet, 56!!56!114.52!114.52!
GE!1370D!TX!!21317011000036101!enalapril!28180011000036100!enalapril maleate 5 mg tablet, 30!APO-Enalapril!155961000036109!Enalapril Maleate (Apo) 5 mg tablet, 30!!30!1.74!1.74!
GE!1370D!GQ!!21317011000036101!enalapril!28180011000036100!enalapril maleate 5 mg tablet, 30!Enalapril generichealth!66863011000036101!Enalapril Maleate (Generic Health) 5 mg tablet, 30!!30!1.74!1.74!
GE!1325R!AP!!4321000144103!METOPROLOL TARTRATE!26311000144107!METOPROLOL TARTRATE Tablet 100 mg, 60!Betaloc!91091000144103!Betaloc Tablet 100 mg, 60!!60!2.26!10.16!
GE!1325R!RW!!4321000144103!METOPROLOL TARTRATE!26311000144107!METOPROLOL TARTRATE Tablet 100 mg, 60!Metrol 100!91081000144100!Metrol 100 Tablet 100 mg, 60!!60!2.26!2.26!0.00
GE!1325R!AF!!4321000144103!METOPROLOL TARTRATE!26311000144107!METOPROLOL TARTRATE Tablet 100 mg, 60!Minax 100!90991000144106!Minax 100 Tablet 100 mg, 60!!60!2.26!2.26!0.00
GE!1325R!NV!!4321000144103!METOPROLOL TARTRATE!26311000144107!METOPROLOL TARTRATE Tablet 100 mg, 60!Lopresor 100!91101000144106!Lopresor 100 Tablet 100 mg, 60!!60!2.26!3.93!
GE!1325R!TX!!4321000144103!METOPROLOL TARTRATE!26311000144107!METOPROLOL TARTRATE Tablet 100 mg, 60!APO-Metoprolol!359241000144105!Metoprolol Tartrate (Apo) 100 mg tablet: film-coated, 60 tablets!!60!2.26!2.26!0.00
GE!1325R!SZ!!4321000144103!METOPROLOL TARTRATE!26311000144107!METOPROLOL TARTRATE Tablet 100 mg, 60!Metoprolol Sandoz!309541000144104!Metoprolol (Sandoz) Tablet 100 mg, 60!!60!2.26!2.26!0.00
GE!1325R!ER!!4321000144103!METOPROLOL TARTRATE!26311000144107!METOPROLOL TARTRATE Tablet 100 mg, 60!Mistrom!326451000144101!Mistrom 100 mg tablet: film-coated, 60 tablets!!60!2.26!2.26!0.00
GE!1325R!EA!!4321000144103!METOPROLOL TARTRATE!26311000144107!METOPROLOL TARTRATE Tablet 100 mg, 60!Metoprolol AN!348731000144101!Metoprolol Tartrate (AN) 100 mg tablet: film-coated, 60!!60!2.26!2.26!0.00
GE!1195X!SW!!21310011000036102!chlorpromazine!27015011000036105!chlorpromazine hydrochloride 50 mg/2 mL injection, 10 x 2 mL ampoules!Largactil!12251011000036108!Largactil 50 mg/2 mL injection, 10 x 2 mL ampoules!!10!9.23!9.23!
GE!1616C!AS!!21488011000036109!minocycline!27684011000036103!minocycline 50 mg tablet, 60!Minomycin-50!12503011000036108!Minomycin 50 mg tablet, 60!!60!6.98!6.98!
GE!1093M!AS!!21806011000036104!atropine sulfate!850961000168101!atropine sulfate monohydrate 1% eye drops, 15 mL!Atropt!850971000168107!Atropt 1% eye drops, 15 mL!!1!10.09!10.09!
GE!1241H!GO!!21287011000036109!verapamil!33790011000036109!verapamil hydrochloride 240 mg modified release tablet, 30!Isoptin SR!11854011000036101!Isoptin SR 240 mg modified release tablet, 30!!30!7.48!10.73!
GE!1241H!GT!!21287011000036109!verapamil!33790011000036109!verapamil hydrochloride 240 mg modified release tablet, 30!Cordilox SR!11344011000036102!Cordilox SR 240 mg modified release tablet, 30!!30!7.48!7.48!0.00
GE!1934T!LN!!21496011000036106!prednisone!28331011000036106!prednisone 1 mg tablet, 100!Predsone!14341011000036107!Predsone 1 mg tablet, 100!!100!2.33!2.33!0.00
GE!1934T!AS!!21496011000036106!prednisone!28331011000036106!prednisone 1 mg tablet, 100!Panafcort!12336011000036107!Panafcort 1 mg tablet, 100!!100!2.33!3.26!
GE!1554T!RW!!21726011000036106!isoniazid!26832011000036105!isoniazid 100 mg tablet, 100!Arrow Pharma Pty Ltd!786241000168104!Isoniazid (Arrow) 100 mg tablet, 100!!100!9.89!9.89!
GE!1674D!IX!!21304011000036105!naproxen!27555011000036100!naproxen 250 mg tablet, 50!Naprosyn!13113011000036108!Naprosyn 250 mg tablet, 50!!100!3.38!3.38!
GE!1247P!AS!!21779011000036103!cortisone!27031011000036104!cortisone acetate 25 mg tablet, 60!Cortate!12270011000036104!Cortate 25 mg tablet, 60!!60!11.59!11.59!
GE!1438Q!NV!!21914011000036101!fluorometholone acetate!27000011000036104!fluorometholone acetate 0.1% eye drops, 5 mL!Flarex!12232011000036103!Flarex 0.1% eye drops, 5 mL!!1!2.75!2.75!
GE!1571Q!AS!!21760011000036100!loperamide!27212011000036107!loperamide hydrochloride 2 mg capsule, 12!Gastro-Stop!12576011000036108!Gastro-Stop 2 mg capsule, 12!!12!1.39!1.39!
GE!1571Q!CR!!21760011000036100!loperamide!27212011000036107!loperamide hydrochloride 2 mg capsule, 12!Gastrex!80721000036109!Gastrex 2 mg capsule, 12!!12!1.39!1.39!
GE!1357K!AL!!21722011000036107!dosulepin (dothiepin)!27057011000036108!dosulepin (dothiepin) hydrochloride 25 mg capsule, 50!Dosulepin Mylan!1146721000168101!Dosulepin (Mylan) 25 mg capsule, 50!!50!2.39!2.39!0.00
GE!1357K!AF!!21722011000036107!dosulepin (dothiepin)!27057011000036108!dosulepin (dothiepin) hydrochloride 25 mg capsule, 50!Dothep 25!12314011000036109!Dothep 25 mg capsule, 50!!50!2.39!4.20!
GE!1763T!LY!!33639011000036103!insulin isophane human + insulin neutral human!27770011000036107!insulin isophane human 70 units/mL + insulin neutral human 30 units/mL injection, 5 x 3 mL cartridges!Humulin 30/70!85241000144102!Humulin 30/70 Injections (human) 100 units (30 units-70 units) per mL, 3 mL, 5, 1!!5!30.20!30.20!
GE!1763T!NI!!33639011000036103!insulin isophane human + insulin neutral human!27770011000036107!insulin isophane human 70 units/mL + insulin neutral human 30 units/mL injection, 5 x 3 mL cartridges!Mixtard 30/70 InnoLet!85271000144108!Mixtard 30/70 Innolet injection, 5 x 3 mL cartridges!!5!30.20!30.20!
GE!1763T!NO!!33639011000036103!insulin isophane human + insulin neutral human!27770011000036107!insulin isophane human 70 units/mL + insulin neutral human 30 units/mL injection, 5 x 3 mL cartridges!Mixtard 30/70 Penfill 3 mL!12509011000036106!Mixtard 30/70 Penfill injection, 5 x 3 mL cartridges!!5!30.20!30.20!
GE!1768C!PF!!21327011000036105!cefotaxime!33814011000036102!cefotaxime 1 g injection, 10 vials!DBL Cefotaxime!920461011000036106!Cefotaxime (DBL) 1 g powder for injection, 10 vials!!10!14.90!14.90!
GE!1610R!PF!!21617011000036108!folinic acid!27490011000036106!folinic acid 50 mg/5 mL injection, 10 x 5 mL ampoules!Leucovorin Calcium (Pfizer Australia Pty Ltd)!12993011000036104!Leucovorin Calcium (Pfizer (Perth)) 50 mg/5 mL injection, 10 x 5 mL ampoules!!10!38.90!38.90!
GE!1808E!RO!!21226011000036100!clonazepam!729111000168105!clonazepam 2.5 mg/mL (0.1 mg/drop) oral liquid, 10 mL!Rivotril!729121000168103!Rivotril 2.5 mg/mL (0.1 mg/drop) oral liquid, 10 mL!!2!3.49!3.49!
GE!1692C!TX!!21498011000036105!nitrofurantoin!27450011000036101!nitrofurantoin 50 mg capsule, 30!APO-Nitrofurantoin!1480651000168107!Nitrofurantoin (Apo) 50 mg capsule, 30!!30!10.46!10.46!
GE!1692C!PF!!21498011000036105!nitrofurantoin!27450011000036101!nitrofurantoin 50 mg capsule, 30!Macrodantin!12935011000036107!Macrodantin 50 mg capsule, 30!!30!10.46!10.46!
GE!1771F!AS!!21663011000036100!estriol!27062011000036101!estriol 500 microgram pessary, 15!Ovestin Ovula!12324011000036101!Ovestin Ovula 500 microgram pessary, 15!!1!11.91!11.91!
GE!1215Y!TX!!21286011000036106!paracetamol + codeine!79240011000036102!paracetamol 500 mg + codeine phosphate hemihydrate 30 mg tablet, 20!APO- Paracetamol/Codeine 500/30!78865011000036106!Paracetamol and Codeine Phosphate 500/30 (Apo) tablet, 20!!20!1.26!1.26!0.00
GE!1215Y!AL!!21286011000036106!paracetamol + codeine!79240011000036102!paracetamol 500 mg + codeine phosphate hemihydrate 30 mg tablet, 20!Codapane Forte 500/30!835941000168109!Codapane Forte 500/30 tablet, 20!!20!1.26!1.26!0.00
GE!1215Y!SW!!21286011000036106!paracetamol + codeine!79240011000036102!paracetamol 500 mg + codeine phosphate hemihydrate 30 mg tablet, 20!Panadeine Forte!835991000168101!Panadeine Forte tablet, 20!!20!1.26!3.21!
GE!1215Y!AV!!21286011000036106!paracetamol + codeine!79240011000036102!paracetamol 500 mg + codeine phosphate hemihydrate 30 mg tablet, 20!Prodeine Forte!835811000168104!Prodeine Forte tablet, 20!!20!1.26!1.26!0.00
GE!1215Y!AF!!21286011000036106!paracetamol + codeine!79240011000036102!paracetamol 500 mg + codeine phosphate hemihydrate 30 mg tablet, 20!Codalgin Forte!835881000168105!Codalgin Forte tablet, 20!!20!1.26!1.26!0.00
GE!1215Y!GQ!!21286011000036106!paracetamol + codeine!79240011000036102!paracetamol 500 mg + codeine phosphate hemihydrate 30 mg tablet, 20!Paracetamol/Codeine GH 500/30!835911000168105!Paracetamol and Codeine Phosphate 500/30 (GH) tablet, 20!!20!1.26!1.26!0.00
GE!1215Y!SZ!!21286011000036106!paracetamol + codeine!79240011000036102!paracetamol 500 mg + codeine phosphate hemihydrate 30 mg tablet, 20!Comfarol Forte!835971000168102!Comfarol Forte tablet, 20!!20!1.26!1.26!0.00
GE!1471K!RA!!21365011000036105!fluconazole!28190011000036104!fluconazole 50 mg capsule, 28!Ozole!11724011000036104!Ozole 50 mg capsule, 28!!28!9.90!9.90!0.00
GE!1471K!AF!!21365011000036105!fluconazole!28190011000036104!fluconazole 50 mg capsule, 28!Dizole 50!14174011000036101!Dizole 50 mg capsule, 28!!28!9.90!9.90!0.00
GE!1471K!PF!!21365011000036105!fluconazole!28190011000036104!fluconazole 50 mg capsule, 28!Diflucan!12562011000036102!Diflucan 50 mg capsule, 28!!28!9.90!15.48!
GE!1471K!SZ!!21365011000036105!fluconazole!28190011000036104!fluconazole 50 mg capsule, 28!Fluconazole Sandoz!920349011000036109!Fluconazole (Sandoz) 50 mg capsule, 28!!28!9.90!9.90!0.00
GE!1834M!TY!!21444011000036105!gabapentin!27968011000036107!gabapentin 300 mg capsule, 100!Gabapentin APOTEX!1245861000168108!Gabapentin (Apotex) 300 mg capsule, 100!!100!12.56!12.56!
GE!1834M!RF!!21444011000036105!gabapentin!27968011000036107!gabapentin 300 mg capsule, 100!GAPENTIN!842131000168108!Gapentin 300 mg capsule, 100!!100!12.56!12.56!
GE!1834M!CR!!21444011000036105!gabapentin!27968011000036107!gabapentin 300 mg capsule, 100!Gabacor!175251000036104!Gabacor 300 mg capsule, 100!!100!12.56!12.56!
GE!1834M!EA!!21444011000036105!gabapentin!27968011000036107!gabapentin 300 mg capsule, 100!Gabapentin AN!953141000168100!Gabapentin (AN) 300 mg capsule, 100!!100!12.56!12.56!
GE!1834M!RW!!21444011000036105!gabapentin!27968011000036107!gabapentin 300 mg capsule, 100!Gabapentin Aspen 300!138721000036108!Gabapentin (Aspen) 300 mg capsule, 100!!100!12.56!12.56!
GE!1834M!SZ!!21444011000036105!gabapentin!27968011000036107!gabapentin 300 mg capsule, 100!Gabapentin Sandoz!85717011000036107!Gabapentin (Sandoz) 300 mg capsule, 100!!100!12.56!12.56!
GE!1834M!UJ!!21444011000036105!gabapentin!27968011000036107!gabapentin 300 mg capsule, 100!Neurontin!13149011000036103!Neurontin 300 mg capsule, 100!!100!12.56!12.56!
GE!1834M!TX!!21444011000036105!gabapentin!27968011000036107!gabapentin 300 mg capsule, 100!APO-Gabapentin!1043471000168109!Gabapentin (Apo) 300 mg capsule, 100!!100!12.56!12.56!
GE!1834M!AF!!21444011000036105!gabapentin!27968011000036107!gabapentin 300 mg capsule, 100!Nupentin 300!11228011000036102!Nupentin 300 mg capsule, 100!!100!12.56!12.56!
GE!1834M!HQ!!21444011000036105!gabapentin!27968011000036107!gabapentin 300 mg capsule, 100!Gabapentin generichealth!1169601000168101!Gabapentin (Generic Health) 300 mg capsule, 100!!100!12.56!12.56!
GE!1595Y!GX!!21545011000036100!ondansetron!28337011000036103!ondansetron 8 mg tablet, 10!Ondansetron APOTEX!1261941000168108!Ondansetron (Apotex) 8 mg tablet, 10!!10!13.38!13.38!
GE!1595Y!HX!!21545011000036100!ondansetron!28337011000036103!ondansetron 8 mg tablet, 10!Ondansetron SZ!740351000168102!Ondansetron (SZ) 8 mg tablet, 10!!10!13.38!13.38!
GE!1595Y!AF!!21545011000036100!ondansetron!28337011000036103!ondansetron 8 mg tablet, 10!Ondansetron Mylan Tablets!1157341000168106!Ondansetron (Mylan) 8 mg tablet, 10!!10!13.38!13.38!
GE!1595Y!RZ!!21545011000036100!ondansetron!28337011000036103!ondansetron 8 mg tablet, 10!Ondansetron-DRLA!926191011000036103!Ondansetron (DRLA) 8 mg tablet, 10!!10!13.38!13.38!
GE!1595Y!AS!!21545011000036100!ondansetron!28337011000036103!ondansetron 8 mg tablet, 10!Zofran!14347011000036104!Zofran 8 mg tablet, 10!!10!13.38!13.38!
GE!1595Y!EA!!21545011000036100!ondansetron!28337011000036103!ondansetron 8 mg tablet, 10!Ondansetron AN!655401000168109!Ondansetron (AN) 8 mg tablet, 10!!10!13.38!13.38!
GE!1595Y!TX!!21545011000036100!ondansetron!28337011000036103!ondansetron 8 mg tablet, 10!APO-Ondansetron!73131011000036108!Ondansetron (Apo) 8 mg tablet, 10!!10!13.38!13.38!
GE!1158Y!AF!!21427011000036101!cimetidine!27866011000036103!cimetidine 400 mg tablet, 60!Magicul 400!13184011000036107!Magicul 400 mg tablet, 60!!60!8.37!8.37!
GE!1486F!AS!!21870011000036107!amiloride + hydrochlorothiazide!26950011000036102!amiloride hydrochloride dihydrate 5 mg + hydrochlorothiazide 50 mg tablet, 50!Moduretic!11312011000036104!Moduretic tablet, 50!!100!2.86!2.86!
GE!1149L!RW!!21533011000036102!captopril!27833011000036104!captopril 50 mg tablet, 90!Capoten!12836011000036109!Capoten 50 mg tablet, 90!!90!8.89!12.52!
GE!1149L!AF!!21533011000036102!captopril!27833011000036104!captopril 50 mg tablet, 90!Zedace!82803011000036100!Zedace 50 mg tablet, 90!!90!8.89!12.56!
GE!1149L!SZ!!21533011000036102!captopril!27833011000036104!captopril 50 mg tablet, 90!Captopril Sandoz!920439011000036104!Captopril (Sandoz) 50 mg tablet, 90!!90!8.89!8.89!0.00
GE!1484D!FF!!21814011000036109!hydrochlorothiazide!28073011000036108!hydrochlorothiazide 25 mg tablet, 100!Dithiazide!14010011000036108!Dithiazide 25 mg tablet, 100!!100!9.74!9.74!
GE!1646P!RW!!21252011000036100!morphine!27054011000036102!morphine sulfate pentahydrate 30 mg tablet, 20!Anamorph!12307011000036101!Anamorph 30 mg tablet, 20!!20!3.96!3.96!
GE!1936X!AS!!21496011000036106!prednisone!27038011000036108!prednisone 25 mg tablet, 30!Panafcort!12277011000036103!Panafcort 25 mg tablet, 30!!30!4.04!4.04!
GE!1936X!IL!!21496011000036106!prednisone!27038011000036108!prednisone 25 mg tablet, 30!Sone!11993011000036103!Sone 25 mg tablet, 30!!30!4.04!4.04!
GE!1886G!AF!!21415011000036100!amoxicillin!28238011000036108!amoxicillin 125 mg/5 mL powder for oral liquid, 100 mL!Alphamox 125!12727011000036106!Alphamox 125 mg/5 mL powder for oral liquid, 100 mL!!1!1.28!1.28!0.00
GE!1886G!TX!!21415011000036100!amoxicillin!28238011000036108!amoxicillin 125 mg/5 mL powder for oral liquid, 100 mL!APO-Amoxycillin!174631000036106!Amoxycillin (Apo) 125 mg/5 mL powder for oral liquid, 100 mL!!1!1.28!1.28!0.00
GE!1886G!AS!!21415011000036100!amoxicillin!28238011000036108!amoxicillin 125 mg/5 mL powder for oral liquid, 100 mL!Amoxil!30582011000036109!Amoxil Sugar Free 125 mg/5 mL powder for oral liquid, 100 mL!!1!1.28!4.50!
GE!1886G!VO!!21415011000036100!amoxicillin!28238011000036108!amoxicillin 125 mg/5 mL powder for oral liquid, 100 mL!NOUMED AMOXICILLIN!1500681000168109!Amoxicillin (Noumed) 125 mg/5 mL powder for oral liquid, 100 mL!!1!1.28!1.28!0.00
GE!1115Q!OV!!21372011000036109!betamethasone dipropionate!27084011000036108!betamethasone (as dipropionate) 0.05% cream, 15 g!Eleuphrat!12375011000036103!Eleuphrat 0.05% cream, 15 g!!1!5.43!5.43!0.00
GE!1115Q!OQ!!21372011000036109!betamethasone dipropionate!27084011000036108!betamethasone (as dipropionate) 0.05% cream, 15 g!Diprosone!12174011000036107!Diprosone 0.05% cream, 15 g!!1!5.43!7.71!
GE!1789E!AF!!21370011000036105!phenoxymethylpenicillin!27620011000036103!phenoxymethylpenicillin 250 mg capsule, 50!Cilicaine VK!12780011000036100!Cilicaine VK 250 mg capsule, 50!!50!3.83!3.83!
GE!1789E!IL!!21370011000036105!phenoxymethylpenicillin!27620011000036103!phenoxymethylpenicillin 250 mg capsule, 50!LPV!13161011000036106!LPV 250 mg capsule, 50!!50!3.83!3.83!
GE!1292B!AS!!21631011000036109!dexamethasone!27034011000036101!dexamethasone 500 microgram tablet, 30!Dexmethsone!12273011000036107!Dexmethsone 500 microgram tablet, 30!!30!1.95!1.95!
GE!1382R!NV!!21495011000036104!ranibizumab!71492011000036103!ranibizumab 2.3 mg/0.23 mL injection, 0.23 mL vial!Lucentis!66898011000036109!Lucentis 2.3 mg/0.23 mL injection, 0.23 mL vial!!1!932.40!932.40!
GE!1728Y!IX!!21557011000036107!olsalazine!26863011000036108!olsalazine sodium 250 mg capsule, 100!Dipentum!12029011000036101!Dipentum 250 mg capsule, 100!!100!37.77!37.77!
GE!1835N!SZ!!21444011000036105!gabapentin!27969011000036104!gabapentin 400 mg capsule, 100!Gabapentin Sandoz!85716011000036109!Gabapentin (Sandoz) 400 mg capsule, 100!!100!17.12!17.12!
GE!1835N!HQ!!21444011000036105!gabapentin!27969011000036104!gabapentin 400 mg capsule, 100!Gabapentin generichealth!1169411000168100!Gabapentin (Generic Health) 400 mg capsule, 100!!100!17.12!17.12!
GE!1835N!UJ!!21444011000036105!gabapentin!27969011000036104!gabapentin 400 mg capsule, 100!Neurontin!13148011000036106!Neurontin 400 mg capsule, 100!!100!17.12!17.12!
GE!1835N!RW!!21444011000036105!gabapentin!27969011000036104!gabapentin 400 mg capsule, 100!Gabapentin Aspen 400!138731000036105!Gabapentin (Aspen) 400 mg capsule, 100!!100!17.12!17.12!
GE!1835N!CR!!21444011000036105!gabapentin!27969011000036104!gabapentin 400 mg capsule, 100!Gabacor!175231000036107!Gabacor 400 mg capsule, 100!!100!17.12!17.12!
GE!1835N!AF!!21444011000036105!gabapentin!27969011000036104!gabapentin 400 mg capsule, 100!Nupentin 400!11229011000036105!Nupentin 400 mg capsule, 100!!100!17.12!17.12!
GE!1835N!TX!!21444011000036105!gabapentin!27969011000036104!gabapentin 400 mg capsule, 100!APO-Gabapentin!1043501000168103!Gabapentin (Apo) 400 mg capsule, 100!!100!17.12!17.12!
GE!1835N!EA!!21444011000036105!gabapentin!27969011000036104!gabapentin 400 mg capsule, 100!Gabapentin AN!953421000168103!Gabapentin (AN) 400 mg capsule, 100!!100!17.12!17.12!
GE!1835N!RF!!21444011000036105!gabapentin!27969011000036104!gabapentin 400 mg capsule, 100!GAPENTIN!1025291000168108!Gapentin 400 mg capsule, 100!!100!17.12!17.12!
GE!1835N!TY!!21444011000036105!gabapentin!27969011000036104!gabapentin 400 mg capsule, 100!Gabapentin APOTEX!1245971000168107!Gabapentin (Apotex) 400 mg capsule, 100!!100!17.12!17.12!
GE!1914R!VF!!50707011000036103!amino acid formula with vitamins and minerals without valine, leucine and isoleucine!42751000036106!amino acid formula with vitamins and minerals without valine, leucine and isoleucine powder for oral liquid, 30 x 34 g sachets!MSUD express 20!42741000036108!MSUD Express 20 powder for oral liquid, 30 x 34 g sachets!!4!801.64!801.64!
GE!1504E!RF!!21421011000036109!nizatidine!28208011000036102!nizatidine 300 mg capsule, 30!Nizac!14201011000036106!Nizac 300 mg capsule, 30!!30!9.71!9.71!0.00
GE!1504E!AF!!21421011000036109!nizatidine!28208011000036102!nizatidine 300 mg capsule, 30!Tacidine!14090011000036107!Tacidine 300 mg capsule, 30!!30!9.71!9.71!0.00
GE!1504E!RW!!21421011000036109!nizatidine!28208011000036102!nizatidine 300 mg capsule, 30!Tazac!12592011000036104!Tazac Pulvule 300 mg capsule, 30!!30!9.71!15.86!
GE!1542E!BY!!21512011000036101!ipratropium!28275011000036100!ipratropium bromide 250 microgram/mL inhalation solution, 30 x 1 mL ampoules!Atrovent!12156011000036101!Atrovent UDV 250 microgram/mL inhalation solution, 30 x 1 mL ampoules!!2!7.55!7.78!
GE!1542E!AL!!21512011000036101!ipratropium!28275011000036100!ipratropium bromide 250 microgram/mL inhalation solution, 30 x 1 mL ampoules!Aeron 250!14284011000036108!Aeron 250 microgram/mL inhalation solution, 30 x 1 mL ampoules!!2!7.55!7.55!0.00
GE!1542E!TX!!21512011000036101!ipratropium!28275011000036100!ipratropium bromide 250 microgram/mL inhalation solution, 30 x 1 mL ampoules!APO-Ipratropium!52101011000036109!Ipratropium Bromide (Apo) 250 microgram/mL inhalation solution, 30 x 1 mL ampoules!!2!7.55!7.55!0.00
GE!1542E!AF!!21512011000036101!ipratropium!28275011000036100!ipratropium bromide 250 microgram/mL inhalation solution, 30 x 1 mL ampoules!Ipratrin!12862011000036101!Ipratrin Uni-Dose 250 microgram/mL inhalation solution, 30 x 1 mL ampoules!!2!7.55!7.55!0.00
GE!1818Q!OD!!21342011000036105!methotrexate!648971000168103!methotrexate 50 mg/2 mL injection, 2 mL vial!Methotrexate Accord!894251000168107!Methotrexate (Accord) 50 mg/2 mL injection, 2 mL vial!50!5!5.10!5.10!
GE!1414K!IX!!21833011000036101!ethosuximide!27900011000036106!ethosuximide 250 mg/5 mL oral liquid, 200 mL!Zarontin!13724011000036105!Zarontin Syrup 250 mg/5 mL oral liquid, 200 mL!!1!56.35!56.35!
GE!1512N!GQ!!21509011000036109!hydroxychloroquine!27234011000036108!hydroxychloroquine sulfate 200 mg tablet, 100!Hydroxychloroquine GH!707591000168108!Hydroxychloroquine (GH) 200 mg tablet, 100!!100!13.08!13.08!
